1196,14156
6532,3608,13476
6740,3628,13704
6220,3384,13876
6604,3696,14064
6944,3864,14100
6692,3744,13916
6868,3860,13620
6884,3716,13608
6192,3476,13600
6920,3680,13660
6352,3588,13748
6488,3612,13820
6804,3652,13912
6800,3972,13980
6380,3632,13892
6304,3548,13504
6676,3688,13508
6268,3512,13580
6404,3524,13740
6264,3624,14040
6748,3728,13932
6856,3880,13952
6840,3808,13820
6792,3756,13804
6724,3840,13668
6600,3580,13500
6372,3672,13796
6228,3524,13704
6204,3664,14180
6656,3740,13860
6456,3688,13848
6332,3692,13596
6680,3708,13532
6624,3608,13460
6724,3664,13492
6276,3520,13752
6468,3656,13844
6688,3676,13972
6404,3756,13848
6460,3616,13828
6828,3700,13608
6284,3608,13456
6408,3588,13708
6284,3456,13636
6896,3708,13676
6268,3608,14012
6492,3704,13948
6548,3672,13784
6368,3556,13672
6832,3568,13444
6352,3632,13572
6332,3600,13812
6364,3624,13852
6804,3872,14108
6372,3624,14048
6644,3612,13952
6640,3900,13916
6452,3500,13548
6708,3680,13536
6700,3748,13392
6224,3524,13752
6476,3648,13976
6944,3760,13884
6452,3648,13928
6432,3764,13752
6624,3720,13540
6240,3624,13428
6804,3640,13568
6180,3440,13740
6900,3716,13916
6988,3928,13980
6636,3748,14036
6448,3768,13720
6972,3656,13484
6300,3556,13552
6736,3740,13588
6280,3632,13684
6520,3708,13724
6380,3508,13912
6576,3928,13984
6928,3768,13804
6448,3628,13788
6876,3720,13552
6648,3708,13612
6748,3676,13572
6120,3592,13596
6684,3552,13852
6492,3664,13972
6724,3880,14020
6840,3740,13664
6504,3640,13536
6868,3664,13648
6324,3560,13540
6780,3732,13708
6572,3508,13908
6800,3768,13976
6504,3700,13980
6584,3768,13828
6560,3712,13656
6872,3764,13588
6340,3560,13348
6404,3568,13636
6744,3652,13664
6236,3544,14016
6880,3888,14012
6392,3576,13852
6732,3720,13748
6708,3620,13560
6572,3692,13600
6720,3788,13648
6496,3472,13748
6684,3624,13724
6816,3776,13984
6964,3872,13840
6640,3884,13928
6912,3676,13564
6584,3648,13468
6888,3684,13668
6516,3608,13580
6344,3540,13880
6864,3716,13940
6556,3592,13960
6532,3848,13848
6744,3648,13540
6472,3712,13552
6184,3552,13504
6672,3644,13584
6268,3556,13952
6436,3544,13872
6900,3728,14052
7108,3956,13844
6568,3752,13908
6416,3588,13484
6860,3736,13512
6208,3412,13624
6288,3512,13644
6312,3532,13932
6908,3844,14008
6700,3668,13860
6708,3912,13832
6796,3648,13484
6464,3588,13376
6652,3612,13480
6072,3468,13616
6248,3544,13800
6764,3776,13972
6692,3668,14000
6376,3700,14008
6692,3836,13616
6312,3744,13704
6212,3496,13536
6500,3496,13656
6844,3720,13900
6300,3576,13796
6328,3752,13980
6996,3848,14120
6504,3692,13772
6436,3720,13812
6868,3728,13492
6800,3628,13632
6364,3628,13648
6668,3720,13896
6484,3716,13940
6948,3908,13984
6752,3828,13880
6952,3788,13716
6456,3508,13536
6528,3708,13492
6188,3464,13708
6728,3524,13728
6920,3680,13924
6448,3728,13884
6304,3696,13920
6800,3820,13564
6500,3748,13632
6816,3672,13632
6208,3624,13712
6492,3724,13852
6660,3696,14048
6916,3732,14024
6536,3844,13956
6432,3772,13792
6540,3824,13812
6652,3728,13624
6628,3648,13504
6552,3468,13684
6512,3604,13696
6288,3476,13956
6324,3664,14020
6540,3748,13964
6968,3840,13748
6288,3596,13452
6708,3616,13496
6596,3608,13532
6316,3656,13692
6348,3468,13876
7004,3824,14008
6352,3736,13764
7060,3896,13852
6512,3668,13656
6328,3572,13484
6440,3556,13524
6472,3552,13856
6336,3608,14176
6316,3648,13936
7032,3768,13992
6392,3620,13564
6828,3704,13692
6320,3484,13524
6184,3444,13488
6244,3520,13796
6420,3668,13784
6492,3648,13880
6372,3644,14036
6524,3836,13764
6944,3740,13884
6896,3776,13468
6648,3636,13600
6296,3684,13500
6600,3676,13744
6324,3672,13936
